FASTWEB-fd6deP;WOW FI - FASTWEB;D-Link-EAAFB1;INCENTIVE;Vodafone-WiFi;FASTWEB-H6D6XP;Grillandia;ginger;CLASSE(Stanza)
-57;-57;-74;-72;-73;-86;-81;-80;3
-57;-57;-74;-72;-73;-86;-81;-80;3
-42;-43;-100;-72;-80;-79;-85;-100;3
-44;-44;-90;-72;-81;-74;-83;-100;3
-43;-44;-82;-72;-80;-79;-86;-100;3
-45;-44;-83;-72;-82;-80;-81;-100;3
-44;-44;-100;-100;-80;-80;-100;-100;3
-45;-45;-84;-72;-81;-78;-84;-92;3
-45;-45;-83;-70;-80;-80;-83;-100;3
-44;-44;-87;-83;-76;-79;-85;-100;3
-45;-46;-86;-100;-81;-81;-83;-100;3
-44;-45;-85;-72;-80;-80;-87;-100;3
-42;-42;-84;-71;-79;-79;-86;-100;3
-43;-42;-86;-73;-79;-78;-86;-90;3
-41;-41;-100;-71;-100;-79;-85;-100;3
-42;-42;-90;-70;-80;-79;-85;-100;3
-50;-49;-85;-72;-87;-83;-84;-100;3
-52;-52;-100;-71;-87;-79;-87;-100;3
-46;-48;-100;-71;-82;-89;-85;-100;3
-44;-44;-84;-73;-79;-85;-86;-100;3
-47;-48;-100;-66;-81;-79;-85;-100;3
-54;-52;-82;-67;-86;-86;-89;-100;3
-52;-54;-83;-63;-83;-79;-82;-100;3
-50;-51;-81;-64;-83;-80;-82;-100;3
-52;-51;-83;-64;-84;-80;-83;-100;3
-51;-51;-83;-67;-83;-80;-81;-100;3
-51;-51;-87;-67;-83;-80;-100;-100;3
-52;-51;-85;-70;-84;-80;-100;-90;3
-50;-51;-90;-70;-100;-80;-100;-100;3
-53;-53;-83;-63;-84;-81;-82;-100;3
-51;-51;-88;-70;-83;-81;-82;-90;3
-52;-52;-83;-76;-84;-100;-81;-91;3
-51;-51;-100;-70;-83;-80;-82;-100;3
-51;-51;-86;-64;-100;-81;-100;-90;3
-51;-51;-100;-73;-83;-80;-81;-100;3
-52;-51;-84;-70;-84;-79;-87;-90;3
-49;-50;-85;-67;-85;-79;-87;-100;3
-49;-50;-83;-65;-85;-80;-82;-100;3
-49;-50;-85;-73;-87;-81;-82;-100;3
-51;-49;-87;-67;-86;-70;-84;-100;3
-49;-49;-100;-58;-85;-84;-90;-100;3
-46;-45;-91;-65;-100;-78;-82;-89;3
-46;-46;-81;-66;-87;-77;-77;-85;3
-47;-47;-84;-66;-71;-87;-80;-100;3
-46;-45;-79;-67;-63;-81;-80;-100;3
-45;-46;-81;-67;-81;-82;-100;-100;3
-46;-47;-79;-64;-85;-87;-80;-69;3
-45;-47;-73;-66;-84;-82;-80;-71;3
-46;-46;-80;-64;-81;-81;-80;-87;3
-45;-46;-77;-64;-83;-80;-80;-100;3
-46;-46;-81;-67;-81;-74;-80;-100;3
-45;-45;-88;-65;-85;-80;-80;-89;3
-48;-47;-80;-67;-81;-82;-80;-87;3
-47;-46;-80;-67;-81;-79;-81;-83;3
-46;-47;-80;-66;-78;-83;-81;-88;3
-46;-46;-81;-66;-80;-75;-80;-88;3
-45;-46;-82;-67;-82;-79;-79;-88;3
-44;-45;-100;-68;-88;-72;-100;-100;3
-50;-50;-83;-60;-100;-74;-100;-100;3
-50;-50;-83;-60;-88;-70;-82;-90;3
-50;-50;-83;-60;-88;-72;-78;-100;3
-50;-50;-84;-59;-88;-72;-81;-100;3
-49;-50;-84;-59;-88;-69;-80;-100;3
-50;-54;-87;-60;-86;-73;-79;-100;3
-49;-49;-85;-60;-88;-69;-82;-100;3
-49;-49;-83;-59;-87;-72;-82;-100;3
-51;-51;-83;-59;-100;-72;-100;-100;3
-52;-53;-88;-59;-86;-71;-81;-100;3
-49;-49;-83;-59;-91;-70;-80;-100;3
-47;-46;-100;-59;-86;-71;-82;-100;3
-50;-50;-100;-60;-70;-74;-100;-100;3
-44;-46;-80;-65;-79;-76;-90;-90;3
-45;-45;-81;-63;-80;-75;-100;-90;3
-46;-45;-80;-64;-80;-75;-100;-89;3
-47;-47;-81;-63;-77;-77;-100;-91;3
-46;-47;-81;-64;-81;-78;-100;-100;3
-47;-47;-81;-65;-79;-79;-100;-100;3
-47;-46;-81;-63;-79;-78;-100;-100;3
-45;-45;-85;-64;-80;-79;-100;-100;3
-46;-46;-82;-63;-80;-80;-100;-100;3
-45;-45;-80;-63;-78;-78;-91;-88;3
-44;-44;-85;-63;-79;-78;-100;-88;3
-45;-45;-80;-63;-79;-79;-100;-100;3
-43;-44;-83;-63;-80;-79;-100;-100;3
-45;-45;-85;-63;-80;-78;-89;-100;3
-45;-45;-100;-62;-79;-78;-85;-100;3
-43;-43;-78;-63;-77;-76;-100;-88;3
-52;-53;-91;-65;-87;-88;-87;-100;3
-48;-48;-86;-62;-90;-76;-87;-100;3
-48;-48;-84;-60;-85;-75;-79;-91;3
-50;-49;-100;-61;-89;-76;-79;-100;3
-48;-49;-100;-61;-84;-75;-81;-100;3
-50;-49;-100;-61;-81;-75;-80;-100;3
